city,district,full_address,village,neighborhood,road,section,lane,alley,number,floor,floor_dash,assignment_date,assignment_date_roc,assignment_type
臺北市,中正區,臺北市中正區新營里008鄰愛國東路74巷2之1號,新營里,8,愛國東路,,74,,1,,,2025-09-24,114-09-24,門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段163號,板溪里,3,南昌路,二段,,,163,,,2025-09-16,114-09-16,門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段165號,板溪里,3,南昌路,二段,,,165,,,2025-09-16,114-09-16,門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段167號,板溪里,3,南昌路,二段,,,167,,,2025-09-16,114-09-16,門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段169號,板溪里,3,南昌路,二段,,,169,,,2025-09-16,114-09-16,門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段169號七樓,板溪里,3,南昌路,二段,,,169,7,,2025-09-16,114-09-16,門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段169號七樓之1,板溪里,3,南昌路,二段,,,169,7,1,2025-09-16,114-09-16,門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段169號七樓之10,板溪里,3,南昌路,二段,,,169,7,10,2025-09-16,114-09-16,門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段169號七樓之11,板溪里,3,南昌路,二段,,,169,7,11,2025-09-16,114-09-16,門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段169號七樓之12,板溪里,3,南昌路,二段,,,169,7,12,2025-09-16,114-09-16,門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段169號七樓之2,板溪里,3,南昌路,二段,,,169,7,2,2025-09-16,114-09-16,門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段169號七樓之3,板溪里,3,南昌路,二段,,,169,7,3,2025-09-16,114-09-16,門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段169號七樓之5,板溪里,3,南昌路,二段,,,169,7,5,2025-09-16,114-09-16,門牌初編
臺北市,中正區,臺北市中正區板溪里003鄰南昌路二段169號七樓之6,板溪里,3,南昌路,二段,,,169,7,6,2025-09-16,114-09-16,門牌初編
